2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:40:10,019 INFO: Broadcast sent: updated logical clock to 155, system_time=1741160410
2025-03-05 02:40:10,220 INFO: Internal event: updated logical clock to 156, system_time=1741160410
2025-03-05 02:40:10,423 INFO: Internal event: updated logical clock to 157, system_time=1741160410
2025-03-05 02:40:10,628 INFO: Internal event: updated logical clock to 158, system_time=1741160410
2025-03-05 02:40:10,833 INFO: Internal event: updated logical clock to 159, system_time=1741160410
2025-03-05 02:40:10,936 INFO: Received message from machine1: received_clock=157, system_time=1741160410
2025-03-05 02:40:11,034 INFO: Processed received message: updated logical clock to 160, system_time=1741160411, queue_length=0
2025-03-05 02:40:11,234 INFO: Internal event: updated logical clock to 161, system_time=1741160411
2025-03-05 02:40:11,435 INFO: Internal event: updated logical clock to 162, system_time=1741160411
2025-03-05 02:40:11,444 INFO: Received message from machine3: received_clock=157, system_time=1741160411
2025-03-05 02:40:11,640 INFO: Processed received message: updated logical clock to 163, system_time=1741160411, queue_length=0
2025-03-05 02:40:11,863 INFO: Sent message to localhost:50051: sent_clock=164, system_time=1741160411
2025-03-05 02:40:11,870 INFO: Sent message to localhost:50053: sent_clock=164, system_time=1741160411
2025-03-05 02:40:11,871 INFO: Broadcast sent: updated logical clock to 164, system_time=1741160411
2025-03-05 02:40:12,053 INFO: Sent message to localhost:50053: sent_clock=165, system_time=1741160412
2025-03-05 02:40:12,053 INFO: Sent event to localhost:50053: updated logical clock to 165, system_time=1741160412
2025-03-05 02:40:12,255 INFO: Internal event: updated logical clock to 166, system_time=1741160412
2025-03-05 02:40:12,456 INFO: Internal event: updated logical clock to 167, system_time=1741160412
2025-03-05 02:40:12,656 INFO: Internal event: updated logical clock to 168, system_time=1741160412
2025-03-05 02:40:12,860 INFO: Internal event: updated logical clock to 169, system_time=1741160412
2025-03-05 02:40:13,069 INFO: Sent message to localhost:50053: sent_clock=170, system_time=1741160413
2025-03-05 02:40:13,069 INFO: Sent event to localhost:50053: updated logical clock to 170, system_time=1741160413
2025-03-05 02:40:13,265 INFO: Internal event: updated logical clock to 171, system_time=1741160413
2025-03-05 02:40:13,470 INFO: Internal event: updated logical clock to 172, system_time=1741160413
2025-03-05 02:40:13,675 INFO: Internal event: updated logical clock to 173, system_time=1741160413
2025-03-05 02:40:13,877 INFO: Internal event: updated logical clock to 174, system_time=1741160413
2025-03-05 02:40:14,081 INFO: Internal event: updated logical clock to 175, system_time=1741160414
2025-03-05 02:40:14,289 INFO: Sent message to localhost:50051: sent_clock=176, system_time=1741160414
2025-03-05 02:40:14,291 INFO: Sent message to localhost:50053: sent_clock=176, system_time=1741160414
2025-03-05 02:40:14,291 INFO: Broadcast sent: updated logical clock to 176, system_time=1741160414
2025-03-05 02:40:14,492 INFO: Sent message to localhost:50053: sent_clock=177, system_time=1741160414
2025-03-05 02:40:14,493 INFO: Sent event to localhost:50053: updated logical clock to 177, system_time=1741160414
2025-03-05 02:40:14,696 INFO: Sent message to localhost:50051: sent_clock=178, system_time=1741160414
2025-03-05 02:40:14,696 INFO: Sent event to localhost:50051: updated logical clock to 178, system_time=1741160414
2025-03-05 02:40:14,899 INFO: Internal event: updated logical clock to 179, system_time=1741160414
2025-03-05 02:40:15,107 INFO: Sent message to localhost:50053: sent_clock=180, system_time=1741160415
2025-03-05 02:40:15,107 INFO: Sent event to localhost:50053: updated logical clock to 180, system_time=1741160415
2025-03-05 02:40:15,308 INFO: Internal event: updated logical clock to 181, system_time=1741160415
2025-03-05 02:40:15,512 INFO: Sent message to localhost:50051: sent_clock=182, system_time=1741160415
2025-03-05 02:40:15,513 INFO: Sent event to localhost:50051: updated logical clock to 182, system_time=1741160415
2025-03-05 02:40:15,713 INFO: Internal event: updated logical clock to 183, system_time=1741160415
2025-03-05 02:40:15,916 INFO: Internal event: updated logical clock to 184, system_time=1741160415
2025-03-05 02:40:15,954 INFO: Received message from machine3: received_clock=182, system_time=1741160415
2025-03-05 02:40:16,118 INFO: Processed received message: updated logical clock to 185, system_time=1741160416, queue_length=0
2025-03-05 02:40:16,323 INFO: Internal event: updated logical clock to 186, system_time=1741160416
2025-03-05 02:40:16,528 INFO: Internal event: updated logical clock to 187, system_time=1741160416
2025-03-05 02:40:16,730 INFO: Internal event: updated logical clock to 188, system_time=1741160416
2025-03-05 02:40:16,932 INFO: Internal event: updated logical clock to 189, system_time=1741160416
2025-03-05 02:40:17,137 INFO: Internal event: updated logical clock to 190, system_time=1741160417
2025-03-05 02:40:17,342 INFO: Internal event: updated logical clock to 191, system_time=1741160417
2025-03-05 02:40:17,549 INFO: Sent message to localhost:50051: sent_clock=192, system_time=1741160417
2025-03-05 02:40:17,552 INFO: Sent message to localhost:50053: sent_clock=192, system_time=1741160417
2025-03-05 02:40:17,553 INFO: Broadcast sent: updated logical clock to 192, system_time=1741160417
2025-03-05 02:40:17,755 INFO: Sent message to localhost:50053: sent_clock=193, system_time=1741160417
2025-03-05 02:40:17,755 INFO: Sent event to localhost:50053: updated logical clock to 193, system_time=1741160417
2025-03-05 02:40:17,954 INFO: Sent message to localhost:50051: sent_clock=194, system_time=1741160417
2025-03-05 02:40:17,954 INFO: Sent event to localhost:50051: updated logical clock to 194, system_time=1741160417
2025-03-05 02:40:18,150 INFO: Internal event: updated logical clock to 195, system_time=1741160418
2025-03-05 02:40:18,355 INFO: Internal event: updated logical clock to 196, system_time=1741160418
